Setting,Unit,Type,Default,Scope,Description,Annotations
plumber_training,None,boolean, false,Plumber behaviour,If true activates a training program for Plumber agents.,
plumber_training_system,None,string," ""Heating_system_heat_pump_brine""",Plumber behaviour,Specifies the heating system that Plumbers will learn about in the training program.,
information_campaign,None,boolean, false,Agents behaviour,If true activates an information campaign targeting Houseowners.,
inf_campaign_systems,None,list, [],Agents behaviour,A list of heating systems to be promoted during the information campaign.,
inf_campaign_duration,None,list, [],Agents behaviour,A list of simulation steps (weeks) during which the information campaign is active.,
inf_campaign_reach,Agent,integer,0,Agents behaviour,The number of Houseowner agents the information campaign will target at each active step.,
inf_campaign_mode,None,string," ""Risk_targeting""",Agents behaviour,"Defines the strategy of the campaign (Direct_informing, Energy_advisor, Risk_targeting).",
inf_campaign_risk_mitigation,Abstract,float,0,Agents behaviour,The degree to which the campaign mitigates perceived risk.,
enforcement,None,boolean, false,Agents behaviour,If true activates a policy that bans all heating systems except those specified in enforcement_systems.,
enforcement_systems,None,list, [],Agents behaviour,A list of heating system names that are PERMITTED when enforcement is active. All others are banned.,
replacement_mandates,None,boolean, false,Agents behaviour,If true activates policies that mandate the replacement of heating systems according to emissions_mandate or systems_mandate.,
emissions_mandate,Gram,integer,1000000000,Agents behaviour,The emissions threshold (in kg CO2/year). Systems exceeding this are subject to mandatory replacement.,
systems_mandate,None,list, [],Agents behaviour,A list of heating system names that are mandated for replacement regardless of performance.,
