Setting,Unit,Type,Default,Scope,Description,Annotations
current_scenario,None,string," ""Scenario_heat_pumps""",Model runs,Specifies which experimental scenario from Scenario.py to run.,
project,None,string," ""AHOI""",Model runs,A name for the project used for organizational purposes.,
run_id,None,string," ""0""",Model runs,A unique identifier for the simulation run used in naming output folders.,
task,None,string," """"",Model runs,A sub-identifier for a task within a project can be used for organizing outputs.,
start_year,Year,integer,2025,Model runs,The starting year of the simulation used to calculate the initial age of heating systems.,
end_year,Year,integer,2045,Model runs,The end year of the simulation defining the overall time frame.,
number_of_plumbers,Agent,integer,5,Model runs,The total number of Plumber agents to create in the model.,
number_of_energy_advisors,Agent,integer,5,Model runs,The total number of Energy Advisor agents to create in the model.,
steps,Week,integer,1040,Model runs,The total number of steps (weeks) the simulation will run for.,
serialization_function,None,string," ""to_excel""",Model runs,Specifies the function for serializing data.,
files_prefix,None,string," """"",Model runs,A prefix added to all output file names for better identification of experimental sets.,
input_path,None,string," ""./data/input/""",Model runs,The directory path where input data files are located.,
output_path,None,string," ""./src/data/output""",Model runs,The root directory path where all simulation outputs will be saved.,
excel_scenario_file,None,string," ""settings/settings.xlsx""",Model runs,The path to an Excel file that contains sets of scenario settings.,
config_id_start,Abstract,integer,0,Model runs,The starting ID for running a batch of simulations from settings.xlsx.,
config_id_end,Abstract,integer,0,Model runs,The ending ID for running a batch of simulations (+1).,
