Setting,Unit,Type,Default,Scope,Description,Annotations
randomstreaminvocations,None,boolean, false,Debugging,If true enables logging of every call to the random number generators for debugging.,
randomstreaminvocations_folder,None,string," ""@format ./data/output/rng/{this.main.run_id}/""",Debugging,The directory where the random number generator invocation logs will be saved.,
randomstream_cutentries,Abstract,integer,2,Debugging,An option to trim entries from the random stream logs for readability.,
logger_model_init,None,string," ""test_model_init_""",Debugging,The prefix for the log file tracking the model_init random number stream.,
logger_model_run,None,string," ""test_model_run_""",Debugging,The prefix for the log file tracking the model_run random number stream.,
logger_house_init,None,string," ""test_house_init_""",Debugging,The prefix for the log file tracking the house_init random number stream.,
logger_milieu_init,None,string," ""test_milieu_init_""",Debugging,The prefix for the log file tracking the milieu_init random number stream.,
logger_houseowner_run,None,string," ""test_houseowner_run_""",Debugging,The prefix for the log file tracking the houseowner_run random number stream.,
logger_plumber_run,None,string," ""test_plumber_run_""",Debugging,The prefix for the log file tracking the plumber_run random number stream.,
logger_information_source_run,None,string," ""test_information_source_run_""",Debugging,The prefix for the log file tracking the information_source_run random number stream.,
logger_heating_init,None,string," ""test_heating_init_""",Debugging,The prefix for the log file tracking the heating_init random number stream.,
resultdata_as_csv,None,boolean, false,Debugging,If true saves the main model and agent results dataframes as CSV files.,
agentdata_as_pickle,None,boolean, true,Data collection,If true saves the detailed agent-level results dataframe as a Python Pickle file.,
intermediarydata_as_pickle,None,boolean, true,Data collection,If true saves the intermediary job data as a Python Pickle file.,
simplenames,None,boolean, false,Data collection,If true attempts to increment the run_id for subsequent runs simplifying file naming for local tests.,
output_settings,None,boolean, true,Data collection,If true saves a copy of the settings file used for the run.,
output_settings_path,None,string," ""conf""",Data collection,The sub-directory where the settings snapshot will be saved.,
output_settings_filename,None,string," ""settings.toml""",Debugging,The filename for the saved settings snapshot.,
output_settingshistory_filename,None,string," ""settings_history.json""",Debugging,The filename for a JSON file that tracks the history of settings changes.,
output_settingshistory_key,None,string," ""@none""",Debugging,A key for managing the settings history file.,
hdf5_filename,None,string," ""AHOI.h5""",Debugging,The filename for saving results in the HDF5 format.,
hdf5_format,None,string," ""fixed""",Debugging,The format option for the HDF5 file.,
