Setting,Unit,Type,Default,Scope,Description,Annotations,,
template_file,None,string," ""src/experiments/slurm_script_template.sh""",,The local path to the template shell script used for generating Slurm batch jobs. Relative to get_input_path.,,,
target_execfile,None,string," ""slurm""",,The local directory where the main Slurm execution scripts will be saved. Relative to get_batchconfig_path.,,,
target_batchfiles,None,string," ""slurm/batchfiles""",,The local sub-directory where individual batch files generated from the template will be stored. Relative to get_batchconfig_path (should be subfolder of target_execfile):,, generated from the template, will be stored. Relative to get_batchconfig_path (should be subfolder of target_execfile):'
target_cluster_mainpath,None,string," ""~/ahoi/""",,The absolute root path of the project on the remote HPC cluster.,,,
target_cluster_modelbase,None,string," ""@format {this.slurm.target_cluster_mainpath}/ahois-pro/src/""",,The path to the models source code on the cluster from where the simulation will be executed.,, from where the simulation will be executed.',
target_cluster_batchfiles,None,string," ""./batchfiles""",,The path to the batch files relative to target_excefiles. ,,,
target_cluster_logfiles,None,string," ""@format {this.slurm.target_cluster_mainpath}/{this.main.task}""",,The path on the cluster where Slurm will store log and output files for the submitted jobs (needs to correspond with the pattern defined in template_file - the part before the RunID / Job which are added programmatically):,,,
host,None,string," ""its-cs1.its.uni-kassel.de""",,The hostname or IP address of the Slurm clusters login node.,,,
username,None,string," ""uk093483""",,The username for logging into the Slurm cluster.,,,
num_runs_per_batch,Run,integer,1,,The number of individual simulation runs to be grouped into a single Slurm batch job.,,,
config_id_start,Abstract,integer,0,,The starting configuration ID for the batch of Slurm jobs to be generated.,,,
config_id_end,Abstract,integer,0,,The ending configuration ID for the batch of Slurm jobs to be generated.,,,
fetch_pattern,None,string," ""pickles/*.*""",,A file pattern used to identify and retrieve result files from the cluster after jobs are complete.,,,
partitio,None,string,FB16,,The name of the Slurm partition to which the jobs will be submitted.,,,
duratio,Minute,integer,300,,The maximum requested runtime for each job in minutes. Slurm will terminate jobs exceeding this limit.,,,
