Input Name,Entity,Type: Unit,Default,Source
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_oil`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_gas`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_heat_pump`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_heat_pump_brine`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_network_local`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_GP_Joule`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_pellet`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Fuel Cost Dynamics,:py:class:`~modules.Heating_systems.Heating_system_electricity`,Time-series schedule: EUR/kWh,See the file for the full schedule,Calculations based on projected CO2 prices from `German Environment Agency <https://www.umweltbundesamt.de/publikationen/projektionsbericht-2023-fuer-deutschland>`_
Emissions Dynamics,:py:class:`~modules.Heating_systems.Heating_system_heat_pump`,Time-series schedule: gCO2eq/kWh,See the file for the full schedule,Calculations based on data from `KEA-BW (see Technikkatalog etc) <https://www.kea-bw.de/waermewende/angebote/downloads#c13217-content-8>`_
Emissions Dynamics,:py:class:`~modules.Heating_systems.Heating_system_heat_pump_brine`,Time-series schedule: gCO2eq/kWh,See the file for the full schedule,Calculations based on data from `KEA-BW (see Technikkatalog etc) <https://www.kea-bw.de/waermewende/angebote/downloads#c13217-content-8>`_
Emissions Dynamics,:py:class:`~modules.Heating_systems.Heating_system_network_local`,Time-series schedule: gCO2eq/kWh,See the file for the full schedule,Calculations based on data from `KEA-BW (see Technikkatalog etc) <https://www.kea-bw.de/waermewende/angebote/downloads#c13217-content-8>`_
Emissions Dynamics,:py:class:`~modules.Heating_systems.Heating_system_GP_Joule`,Time-series schedule: gCO2eq/kWh,See the file for the full schedule,Calculations based on data from `KEA-BW (see Technikkatalog etc) <https://www.kea-bw.de/waermewende/angebote/downloads#c13217-content-8>`_
