"Entity","Variable Name","Type and unit","Scale","Meaning ","Name in code"
"Houseowner","Unique ID","String","Nominal","A unique identifier for the agent.","unique_id"
"Houseowner","House","House (Agent)","Nominal","The House agent associated with the houseowner.","house"
"Houseowner","Geometry","Shapely Polygon","Spatial","The geographic location of the agent, used for social network generation.","geometry"
"Houseowner","CRS","String","Nominal","The coordinate reference system for the agent's geometry.","crs"
"Houseowner","Income","Integer (€/step)","Ratio","The amount of income the agent receives at each step, added to the budget.","income"
"Houseowner","Heating System Budget","Float (€)","Ratio","The amount of money the houseowner has available to spend on a heating system.","hs_budget"
"Houseowner","Budget Limit","Float (€)","Ratio","The maximum amount the agent is willing or able to invest in a heating system.","budget_limit"
"Houseowner","Milieu","Milieu (Object)","Nominal","The agent's socio-cognitive profile, containing preferences and weights.","milieu_data"
"Houseowner","Heating Preferences","Heating_preferences (Object)","Nominal","The agent's specific preferences for different heating system attributes.","heating_preferences"
"Houseowner","Source Preferences","Information_source_preferences (Object)","Nominal","The agent's preferences for different types of information sources.","source_preferences"
"Houseowner","Personal Standard","Personal_standard (Object)","Nominal","Thresholds defining which heating systems are personally acceptable to the agent.","standard"
"Houseowner","Aspiration Value","Integer (options)","Ratio","The number of options an agent needs to feel satisfied with their information search.","aspiration_value"
"Houseowner","Cognitive Resource","Integer (points)","Ratio","The amount of effort the agent can allocate to decision-making in a step.","cognitive_resource"
"Houseowner","Cognitive Overload Threshold","Float","Ratio","The threshold at which the agent experiences cognitive overload.","overload_value"
"Houseowner","TPB Weights","Tuple of Floats","Interval","Weights for Theory of Planned Behaviour components (attitude, social norm, PBC).","tpb_weights"
"Houseowner","RA Exposure","Dictionary","Ratio","Exposure values to other milieus, used for the relative agreement model.","ra_exposure"
"Houseowner","Risk Tolerance","Float","Ratio","A value representing how risk-tolerant the agent is.","risk_tolerance"
"Houseowner","Perceived Uncertainty","Dictionary","Ratio","The agent's perceived uncertainty for different heating system technologies.","perceived_uncertainty"
