Variable Name,Type and unit,Scale,Meaning ,Name in code
Active Jobs,Dictionary,Nominal,A dictionary of jobs the plumber is currently performing.,active_jobs
Active Jobs Counter,Integer,Ratio,The current number of active jobs.,active_jobs_counter
Active Trigger,Trigger (Object),Nominal,The event that initiated an agent's decision-making process.,active_trigger
Aspiration Value,Integer,Ratio,An agent's threshold for feeling satisfied with an information search.,aspiration_value
Clients' Systems,Dictionary,Nominal,A record of heating systems installed for previous clients.,clients_systems
Cognitive Resource,Integer (points),Ratio,The amount of effort an agent can allocate to decision-making.,cognitive_resource
Completed Jobs,Dictionary,Nominal,A record of jobs that the plumber has completed.,completed_jobs
Consultation Power,Integer,Ratio,The plumber's capacity to process consultation jobs per step.,consultation_power
Current Breakpoint,String,Nominal,An agent's specific point within a decision-making stage.,current_breakpoint
Current Heating,Heating system (Object),Nominal,The heating system currently in use.,current_heating
Current Stage,String,Nominal,An agent's current stage in the decision-making process.,current_stage
Desired Heating System,Heating system (Object),Nominal,The heating system an agent currently desires to install.,desired_hs
Heating Preferences,Heating preferences (Object),Nominal,The preferences and weights used by the plumber to evaluate heating systems.,heating_preferences
Heating System Budget,Float,Ratio,The amount of money an agent has available for a heating system.,hs_budget
Infeasible Systems,List of Strings,Nominal,A list of heating systems the plumber has identified as technically infeasible for a client.,infeasible
Installation Power,Integer,Ratio,The plumber's capacity to process installation jobs per step.,installation_power
Known Heating Systems,List of Objects,Nominal,A list of heating systems the plumber is knowledgeable about and can install.,known_hs
Known Subsidies,List of Objects,Nominal,A list of financial subsidies the plumber is aware of.,known_subsidies
Known Subsidies by HS,Dictionary,Nominal,"Known subsidies, organized by the heating systems they apply to.",known_subsidies_by_hs
Max Concurrent Jobs,Integer,Ratio,The maximum number of jobs the plumber can handle simultaneously.,max_concurrent_jobs
Offered Services,List of Objects,Nominal,"A list of services the plumber offers (e.g., Consultation, Installation).",Services
Personal Standard,Personal standard (Object),Nominal,An agent's personal thresholds for decision-making.,standard
Satisfaction,String,Nominal,An agent's satisfaction level with their current heating system.,satisfaction
Steps Since Training,Integer (steps),Ratio,The number of simulation steps that have passed since the plumber's last training.,steps_after_training
Suitable Heating Systems,List of Objects,Nominal,A subset of known systems that meet an agent's personal standard.,suitable_hs
Unique ID,Integer,Nominal,A unique identifier for the agent.,unique_id
