step,name,fuel_cost,emissions
52,Heating_system_oil,0.137,
104,Heating_system_oil,0.142,
156,Heating_system_oil,0.146,
208,Heating_system_oil,0.151,
260,Heating_system_oil,0.156,
312,Heating_system_oil,0.16,
364,Heating_system_oil,0.165,
416,Heating_system_oil,0.17,
468,Heating_system_oil,0.174,
520,Heating_system_oil,0.179,
572,Heating_system_oil,0.184,
624,Heating_system_oil,0.188,
676,Heating_system_oil,0.193,
728,Heating_system_oil,0.198,
780,Heating_system_oil,0.202,
832,Heating_system_oil,0.207,
884,Heating_system_oil,0.211,
936,Heating_system_oil,0.216,
988,Heating_system_oil,0.221,
1040,Heating_system_oil,0.225,
52,Heating_system_gas,0.1073,
104,Heating_system_gas,0.1109,
156,Heating_system_gas,0.1145,
208,Heating_system_gas,0.1181,
260,Heating_system_gas,0.1217,
312,Heating_system_gas,0.1253,
364,Heating_system_gas,0.1289,
416,Heating_system_gas,0.1325,
468,Heating_system_gas,0.1361,
520,Heating_system_gas,0.1397,
572,Heating_system_gas,0.1433,
624,Heating_system_gas,0.1469,
676,Heating_system_gas,0.1505,
728,Heating_system_gas,0.1541,
780,Heating_system_gas,0.1577,
832,Heating_system_gas,0.1613,
884,Heating_system_gas,0.1649,
936,Heating_system_gas,0.1685,
988,Heating_system_gas,0.1721,
1040,Heating_system_gas,0.1757,
52,Heating_system_heat_pump,0.1246,506.8
104,Heating_system_heat_pump,0.1246,480.2
156,Heating_system_heat_pump,0.1246,453.6
208,Heating_system_heat_pump,0.1246,427
260,Heating_system_heat_pump,0.1346,400.4
312,Heating_system_heat_pump,0.1346,373.8
364,Heating_system_heat_pump,0.1346,347.2
416,Heating_system_heat_pump,0.1346,320.6
468,Heating_system_heat_pump,0.1346,294
520,Heating_system_heat_pump,0.1446,267.4
572,Heating_system_heat_pump,0.1446,240.8
624,Heating_system_heat_pump,0.1446,214.2
676,Heating_system_heat_pump,0.1446,187.6
728,Heating_system_heat_pump,0.1446,161
780,Heating_system_heat_pump,0.1446,134.4
832,Heating_system_heat_pump,0.1446,107.8
884,Heating_system_heat_pump,0.1446,81.2
936,Heating_system_heat_pump,0.1446,54.6
988,Heating_system_heat_pump,0.1446,28
1040,Heating_system_heat_pump,0.1446,1.4
52,Heating_system_heat_pump_brine,0.0934,243.3
104,Heating_system_heat_pump_brine,0.0934,230.5
156,Heating_system_heat_pump_brine,0.0934,217.8
208,Heating_system_heat_pump_brine,0.0934,205
260,Heating_system_heat_pump_brine,0.1034,192.2
312,Heating_system_heat_pump_brine,0.1034,179.5
364,Heating_system_heat_pump_brine,0.1034,166.7
416,Heating_system_heat_pump_brine,0.1034,153.9
468,Heating_system_heat_pump_brine,0.1034,141.1
520,Heating_system_heat_pump_brine,0.1034,128.4
572,Heating_system_heat_pump_brine,0.1134,115.6
624,Heating_system_heat_pump_brine,0.1134,102.8
676,Heating_system_heat_pump_brine,0.1134,90.1
728,Heating_system_heat_pump_brine,0.1134,77.3
780,Heating_system_heat_pump_brine,0.1134,64.5
832,Heating_system_heat_pump_brine,0.1134,51.8
884,Heating_system_heat_pump_brine,0.1134,39
936,Heating_system_heat_pump_brine,0.1134,26.2
988,Heating_system_heat_pump_brine,0.1134,13.4
1040,Heating_system_heat_pump_brine,0.1134,0.7
52,Heating_system_network_local,0.12,200.2
104,Heating_system_network_local,0.12,189.7
156,Heating_system_network_local,0.12,179.2
208,Heating_system_network_local,0.12,168.6
260,Heating_system_network_local,0.13,158.1
312,Heating_system_network_local,0.13,147.6
364,Heating_system_network_local,0.13,137.1
416,Heating_system_network_local,0.13,126.6
468,Heating_system_network_local,0.13,116.1
520,Heating_system_network_local,0.13,105.6
572,Heating_system_network_local,0.14,95.1
624,Heating_system_network_local,0.14,84.6
676,Heating_system_network_local,0.14,74.1
728,Heating_system_network_local,0.14,63.6
780,Heating_system_network_local,0.14,53.1
832,Heating_system_network_local,0.14,42.6
884,Heating_system_network_local,0.14,32.1
936,Heating_system_network_local,0.14,21.6
988,Heating_system_network_local,0.14,11.1
1040,Heating_system_network_local,0.14,0.6
52,Heating_system_GP_Joule,0.12,329.2
104,Heating_system_GP_Joule,0.12,311.9
156,Heating_system_GP_Joule,0.12,294.7
208,Heating_system_GP_Joule,0.12,277.4
260,Heating_system_GP_Joule,0.13,260.1
312,Heating_system_GP_Joule,0.13,242.8
364,Heating_system_GP_Joule,0.13,225.5
416,Heating_system_GP_Joule,0.13,208.3
468,Heating_system_GP_Joule,0.13,191
520,Heating_system_GP_Joule,0.13,173.7
572,Heating_system_GP_Joule,0.14,156.4
624,Heating_system_GP_Joule,0.14,139.1
676,Heating_system_GP_Joule,0.14,121.9
728,Heating_system_GP_Joule,0.14,104.6
780,Heating_system_GP_Joule,0.14,87.3
832,Heating_system_GP_Joule,0.14,70
884,Heating_system_GP_Joule,0.14,52.7
936,Heating_system_GP_Joule,0.14,35.5
988,Heating_system_GP_Joule,0.14,18.2
1040,Heating_system_GP_Joule,0.14,0.9
52,Heating_system_pellet,0.0939,
104,Heating_system_pellet,0.0939,
156,Heating_system_pellet,0.0939,
208,Heating_system_pellet,0.0939,
260,Heating_system_pellet,0.1039,
312,Heating_system_pellet,0.1039,
364,Heating_system_pellet,0.1039,
416,Heating_system_pellet,0.1039,
468,Heating_system_pellet,0.1039,
520,Heating_system_pellet,0.1039,
572,Heating_system_pellet,0.1139,
624,Heating_system_pellet,0.1139,
676,Heating_system_pellet,0.1139,
728,Heating_system_pellet,0.1139,
780,Heating_system_pellet,0.1139,
832,Heating_system_pellet,0.1139,
884,Heating_system_pellet,0.1139,
936,Heating_system_pellet,0.1139,
988,Heating_system_pellet,0.1139,
1040,Heating_system_pellet,0.1139,
52,Heating_system_electricity,0.41,
104,Heating_system_electricity,0.41,
156,Heating_system_electricity,0.41,
208,Heating_system_electricity,0.41,
260,Heating_system_electricity,0.42,
312,Heating_system_electricity,0.42,
364,Heating_system_electricity,0.42,
416,Heating_system_electricity,0.42,
468,Heating_system_electricity,0.42,
520,Heating_system_electricity,0.43,
572,Heating_system_electricity,0.43,
624,Heating_system_electricity,0.43,
676,Heating_system_electricity,0.43,
728,Heating_system_electricity,0.43,
780,Heating_system_electricity,0.43,
832,Heating_system_electricity,0.43,
884,Heating_system_electricity,0.43,
936,Heating_system_electricity,0.43,
988,Heating_system_electricity,0.43,
1040,Heating_system_electricity,0.43,
